Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,11,0.9166666666666666,10.671875,53.07670454545455
ALL,TS,12,12,1.0,34.2890625,85.92838541666667
ALL,GA,12,10,0.8333333333333334,17.203125,43.759375
ALL,MAS,12,10,0.8333333333333334,19.890625,49.8234375
ALL,MAS_RL,12,10,0.8333333333333334,19.6796875,48.2859375
C1,SA,2,2,1.0,10.1015625,10.1015625
C1,TS,2,2,1.0,7.3046875,7.3046875
C1,GA,2,2,1.0,17.203125,17.203125
C1,MAS,2,2,1.0,16.734375,16.734375
C1,MAS_RL,2,2,1.0,16.4296875,16.4296875
C2,SA,2,1,0.5,425.484375,425.484375
C2,TS,2,2,1.0,323.515625,323.515625
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.015625,0.015625
R1,GA,2,2,1.0,1.140625,1.140625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,21.171875,21.171875
R2,TS,2,2,1.0,99.6953125,99.6953125
R2,GA,2,2,1.0,80.734375,80.734375
R2,MAS,2,2,1.0,89.984375,89.984375
R2,MAS_RL,2,2,1.0,70.4609375,70.4609375
RC1,SA,2,2,1.0,10.03125,10.03125
RC1,TS,2,2,1.0,5.875,5.875
RC1,GA,2,2,1.0,4.875,4.875
RC1,MAS,2,2,1.0,17.0390625,17.0390625
RC1,MAS_RL,2,2,1.0,16.6484375,16.6484375
RC2,SA,2,2,1.0,37.859375,37.859375
RC2,TS,2,2,1.0,79.1640625,79.1640625
RC2,GA,2,2,1.0,114.84375,114.84375
RC2,MAS,2,2,1.0,105.46875,105.46875
RC2,MAS_RL,2,2,1.0,118.2109375,118.2109375
