Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,12,1.0,0.015625,134.81901041666666
ALL,TS,12,12,1.0,0.015625,11.901041666666666
ALL,GA,12,8,0.6666666666666666,0.90625,0.9375
ALL,MAS,12,12,1.0,18.4609375,93.09895833333333
ALL,MAS_RL,12,12,1.0,18.15625,91.76041666666667
C1,SA,2,2,1.0,346.078125,346.078125
C1,TS,2,2,1.0,25.1875,25.1875
C1,GA,2,0,0.0,,
C1,MAS,2,2,1.0,68.296875,68.296875
C1,MAS_RL,2,2,1.0,158.765625,158.765625
C2,SA,2,2,1.0,462.7734375,462.7734375
C2,TS,2,2,1.0,46.1640625,46.1640625
C2,GA,2,0,0.0,,
C2,MAS,2,2,1.0,426.390625,426.390625
C2,MAS_RL,2,2,1.0,328.9140625,328.9140625
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.015625,0.015625
R1,GA,2,2,1.0,1.140625,1.140625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,0.015625,0.015625
R2,TS,2,2,1.0,0.015625,0.015625
R2,GA,2,2,1.0,0.8046875,0.8046875
R2,MAS,2,2,1.0,13.5,13.5
R2,MAS_RL,2,2,1.0,13.34375,13.34375
RC1,SA,2,2,1.0,0.015625,0.015625
RC1,TS,2,2,1.0,0.015625,0.015625
RC1,GA,2,2,1.0,0.9765625,0.9765625
RC1,MAS,2,2,1.0,17.0390625,17.0390625
RC1,MAS_RL,2,2,1.0,16.6484375,16.6484375
RC2,SA,2,2,1.0,0.015625,0.015625
RC2,TS,2,2,1.0,0.0078125,0.0078125
RC2,GA,2,2,1.0,0.828125,0.828125
RC2,MAS,2,2,1.0,13.4765625,13.4765625
RC2,MAS_RL,2,2,1.0,13.2109375,13.2109375
