Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,10,0.8333333333333334,69.1484375,220.76875
ALL,TS,12,8,0.6666666666666666,16.4296875,15.802734375
ALL,GA,12,6,0.5,72.4765625,130.40104166666666
ALL,MAS,12,8,0.6666666666666666,47.734375,62.34765625
ALL,MAS_RL,12,8,0.6666666666666666,41.90625,67.75390625
C1,SA,2,2,1.0,619.390625,619.390625
C1,TS,2,0,0.0,,
C1,GA,2,0,0.0,,
C1,MAS,2,0,0.0,,
C1,MAS_RL,2,0,0.0,,
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,11.828125,11.828125
R1,TS,2,2,1.0,6.4609375,6.4609375
R1,GA,2,2,1.0,7.2890625,7.2890625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,69.1484375,69.1484375
R2,TS,2,2,1.0,14.328125,14.328125
R2,GA,2,2,1.0,311.4375,311.4375
R2,MAS,2,2,1.0,47.3359375,47.3359375
R2,MAS_RL,2,2,1.0,47.015625,47.015625
RC1,SA,2,2,1.0,28.0390625,28.0390625
RC1,TS,2,2,1.0,21.4140625,21.4140625
RC1,GA,2,2,1.0,72.4765625,72.4765625
RC1,MAS,2,2,1.0,47.734375,47.734375
RC1,MAS_RL,2,2,1.0,39.8203125,39.8203125
RC2,SA,2,2,1.0,375.4375,375.4375
RC2,TS,2,2,1.0,21.0078125,21.0078125
RC2,GA,2,0,0.0,,
RC2,MAS,2,2,1.0,134.4296875,134.4296875
RC2,MAS_RL,2,2,1.0,164.5,164.5
