Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,10,0.8333333333333334,11.828125,28.725
ALL,TS,12,11,0.9166666666666666,12.234375,99.7471590909091
ALL,GA,12,8,0.6666666666666666,24.75,52.55859375
ALL,MAS,12,9,0.75,20.03125,89.82118055555556
ALL,MAS_RL,12,10,0.8333333333333334,25.6796875,95.6375
C1,SA,2,2,1.0,10.1015625,10.1015625
C1,TS,2,2,1.0,11.046875,11.046875
C1,GA,2,2,1.0,32.1640625,32.1640625
C1,MAS,2,2,1.0,24.46875,24.46875
C1,MAS_RL,2,2,1.0,23.984375,23.984375
C2,SA,2,0,0.0,,
C2,TS,2,1,0.5,338.40625,338.40625
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,11.828125,11.828125
R1,TS,2,2,1.0,2.6796875,2.6796875
R1,GA,2,2,1.0,1.140625,1.140625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,39.84375,39.84375
R2,TS,2,2,1.0,184.9609375,184.9609375
R2,GA,2,2,1.0,159.78125,159.78125
R2,MAS,2,1,0.5,285.21875,285.21875
R2,MAS_RL,2,2,1.0,122.640625,122.640625
RC1,SA,2,2,1.0,10.03125,10.03125
RC1,TS,2,2,1.0,9.828125,9.828125
RC1,GA,2,2,1.0,17.1484375,17.1484375
RC1,MAS,2,2,1.0,17.0390625,17.0390625
RC1,MAS_RL,2,2,1.0,16.6484375,16.6484375
RC2,SA,2,2,1.0,71.8203125,71.8203125
RC2,TS,2,2,1.0,170.890625,170.890625
RC2,GA,2,0,0.0,,
RC2,MAS,2,2,1.0,200.1875,200.1875
RC2,MAS_RL,2,2,1.0,295.234375,295.234375
