Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,12,1.0,9.1328125,165.375
ALL,TS,12,11,0.9166666666666666,3.109375,23.204545454545453
ALL,GA,12,8,0.6666666666666666,1.0546875,2.486328125
ALL,MAS,12,10,0.8333333333333334,17.0390625,71.39375
ALL,MAS_RL,12,10,0.8333333333333334,16.6484375,54.4265625
C1,SA,2,2,1.0,470.5,470.5
C1,TS,2,2,1.0,40.890625,40.890625
C1,GA,2,0,0.0,,
C1,MAS,2,2,1.0,293.0625,293.0625
C1,MAS_RL,2,2,1.0,209.25,209.25
C2,SA,2,2,1.0,503.828125,503.828125
C2,TS,2,1,0.5,156.265625,156.265625
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.015625,0.015625
R1,GA,2,2,1.0,1.140625,1.140625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,0.015625,0.015625
R2,TS,2,2,1.0,0.015625,0.015625
R2,GA,2,2,1.0,0.8046875,0.8046875
R2,MAS,2,2,1.0,13.5,13.5
R2,MAS_RL,2,2,1.0,13.34375,13.34375
RC1,SA,2,2,1.0,10.03125,10.03125
RC1,TS,2,2,1.0,2.3046875,2.3046875
RC1,GA,2,2,1.0,0.9765625,0.9765625
RC1,MAS,2,2,1.0,17.0390625,17.0390625
RC1,MAS_RL,2,2,1.0,16.6484375,16.6484375
RC2,SA,2,2,1.0,7.859375,7.859375
RC2,TS,2,2,1.0,6.265625,6.265625
RC2,GA,2,2,1.0,7.0234375,7.0234375
RC2,MAS,2,2,1.0,13.4765625,13.4765625
RC2,MAS_RL,2,2,1.0,13.2109375,13.2109375
