Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,11,0.9166666666666666,10.078125,158.4090909090909
ALL,TS,12,10,0.8333333333333334,9.515625,25.9578125
ALL,GA,12,8,0.6666666666666666,12.6875,24.021484375
ALL,MAS,12,9,0.75,17.171875,83.31597222222223
ALL,MAS_RL,12,10,0.8333333333333334,18.15625,99.3734375
C1,SA,2,2,1.0,538.21875,538.21875
C1,TS,2,2,1.0,102.1875,102.1875
C1,GA,2,0,0.0,,
C1,MAS,2,1,0.5,564.734375,564.734375
C1,MAS_RL,2,2,1.0,417.1328125,417.1328125
C2,SA,2,1,0.5,538.1875,538.1875
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.015625,0.015625
R1,GA,2,2,1.0,1.140625,1.140625
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,7.9453125,7.9453125
R2,TS,2,2,1.0,4.953125,4.953125
R2,GA,2,2,1.0,5.828125,5.828125
R2,MAS,2,2,1.0,13.5,13.5
R2,MAS_RL,2,2,1.0,13.34375,13.34375
RC1,SA,2,2,1.0,10.03125,10.03125
RC1,TS,2,2,1.0,9.515625,9.515625
RC1,GA,2,2,1.0,21.8046875,21.8046875
RC1,MAS,2,2,1.0,17.0390625,17.0390625
RC1,MAS_RL,2,2,1.0,16.6484375,16.6484375
RC2,SA,2,2,1.0,45.9453125,45.9453125
RC2,TS,2,2,1.0,13.1171875,13.1171875
RC2,GA,2,2,1.0,67.3125,67.3125
RC2,MAS,2,2,1.0,42.125,42.125
RC2,MAS_RL,2,2,1.0,30.0625,30.0625
