Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,6,0.5,224.171875,225.453125
ALL,TS,12,6,0.5,168.3984375,196.453125
ALL,GA,12,2,0.16666666666666666,88.4453125,88.4453125
ALL,MAS,12,4,0.3333333333333333,216.328125,261.00390625
ALL,MAS_RL,12,4,0.3333333333333333,243.6015625,261.98046875
C1,SA,2,2,1.0,402.734375,402.734375
C1,TS,2,2,1.0,388.8125,388.8125
C1,GA,2,0,0.0,,
C1,MAS,2,0,0.0,,
C1,MAS_RL,2,0,0.0,,
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,27.2734375,27.2734375
R1,TS,2,2,1.0,32.1484375,32.1484375
R1,GA,2,2,1.0,88.4453125,88.4453125
R1,MAS,2,2,1.0,128.625,128.625
R1,MAS_RL,2,2,1.0,109.6640625,109.6640625
R2,SA,2,0,0.0,,
R2,TS,2,0,0.0,,
R2,GA,2,0,0.0,,
R2,MAS,2,0,0.0,,
R2,MAS_RL,2,0,0.0,,
RC1,SA,2,2,1.0,246.3515625,246.3515625
RC1,TS,2,2,1.0,168.3984375,168.3984375
RC1,GA,2,0,0.0,,
RC1,MAS,2,2,1.0,393.3828125,393.3828125
RC1,MAS_RL,2,2,1.0,414.296875,414.296875
RC2,SA,2,0,0.0,,
RC2,TS,2,0,0.0,,
RC2,GA,2,0,0.0,,
RC2,MAS,2,0,0.0,,
RC2,MAS_RL,2,0,0.0,,
