Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,7,0.5833333333333334,1017.296875,720.28125
ALL,TS,12,8,0.6666666666666666,37.546875,55.458984375
ALL,GA,12,2,0.16666666666666666,114.7890625,114.7890625
ALL,MAS,12,7,0.5833333333333334,251.96875,235.15178571428572
ALL,MAS_RL,12,7,0.5833333333333334,212.453125,199.80803571428572
ALL,MAS_RL_WARM,12,8,0.6666666666666666,198.8984375,200.55859375
C1,SA,2,0,0.0,,
C1,TS,2,0,0.0,,
C1,GA,2,0,0.0,,
C1,MAS,2,0,0.0,,
C1,MAS_RL,2,0,0.0,,
C1,MAS_RL_WARM,2,0,0.0,,
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
C2,MAS_RL_WARM,2,0,0.0,,
R1,SA,2,2,1.0,45.71875,45.71875
R1,TS,2,2,1.0,25.90625,25.90625
R1,GA,2,2,1.0,114.7890625,114.7890625
R1,MAS,2,2,1.0,98.78125,98.78125
R1,MAS_RL,2,2,1.0,96.796875,96.796875
R1,MAS_RL_WARM,2,2,1.0,80.1875,80.1875
R2,SA,2,2,1.0,1156.6953125,1156.6953125
R2,TS,2,2,1.0,33.6484375,33.6484375
R2,GA,2,0,0.0,,
R2,MAS,2,2,1.0,231.4375,231.4375
R2,MAS_RL,2,2,1.0,186.8359375,186.8359375
R2,MAS_RL_WARM,2,2,1.0,157.2734375,157.2734375
RC1,SA,2,2,1.0,809.921875,809.921875
RC1,TS,2,2,1.0,71.9609375,71.9609375
RC1,GA,2,0,0.0,,
RC1,MAS,2,2,1.0,330.375,330.375
RC1,MAS_RL,2,2,1.0,278.7109375,278.7109375
RC1,MAS_RL_WARM,2,2,1.0,288.9921875,288.9921875
RC2,SA,2,1,0.5,1017.296875,1017.296875
RC2,TS,2,2,1.0,90.3203125,90.3203125
RC2,GA,2,0,0.0,,
RC2,MAS,2,1,0.5,324.875,324.875
RC2,MAS_RL,2,1,0.5,273.96875,273.96875
RC2,MAS_RL_WARM,2,2,1.0,275.78125,275.78125
