Method,Group,Instance,Run,Seed,Final K,Final D,Runtime (s)
SA,RC2,rc204.txt,1,1,6,1916.7688015012704,1038.578125
TS,RC2,rc204.txt,1,1,5,1494.392758797745,959.296875
GA,RC2,rc204.txt,1,1,6,3376.1413508775227,897.40625
MAS,RC2,rc204.txt,1,1,5,1836.3645670059086,731.328125
MAS_RL,RC2,rc204.txt,1,1,6,1629.9302425950314,706.203125
MAS_RL_WARM,RC2,rc204.txt,1,1,5,1543.6359985000342,704.53125
