instance,method,runs,avg_runtime_sec,avg_vehicles,avg_distance,best_vehicles,best_distance,best_q_table_json,best_action_count_table_json
c101.txt,MAS,10,3810.827584040025,17.0,1582.578719989107,16,1464.2592561105644,,
c102.txt,MAS,10,3269.986752219987,15.0,1476.141442570094,14,1456.0405189093296,,
c201.txt,MAS,10,2946.530365870008,10.1,1449.0744577604114,9,1278.929460976873,,
c202.txt,MAS,10,2680.8449174899843,7.6,1306.4545958170565,7,1221.5064525610799,,
r101.txt,MAS,10,4246.840643769991,24.0,1966.9247309978314,22,2007.170160672444,,
r102.txt,MAS,10,3861.6961356800284,20.1,1749.7236368031222,19,1720.3083050434607,,
r201.txt,MAS,10,3601.657348279981,9.1,1589.4265190062185,8,1608.2364418724828,,
r202.txt,MAS,10,2560.57569632004,7.2,1519.6896777506968,7,1397.6244647897884,,
rc102.txt,MAS,10,3637.7560384199996,18.1,1960.977354762434,17,1750.5770757093806,,
rc103.txt,MAS,10,3345.55359871,16.3,1709.9529110608019,15,1558.9794887450619,,
rc201.txt,MAS,10,2762.3736262699995,9.5,1955.9943274475165,8,1887.38122262989,,
rc204.txt,MAS,10,2210.0726008599986,4.6,1283.8192756196725,4,1251.7696200164137,,
