group,instance,method,run,seed,runtime_sec,final_k,final_k_gap,final_d,budget_k,budget_k_gap,budget_d,k_target,k_hit_time_sec,k_target_gap_100,k_hit_time_sec_gap_100,k_target_gap_150,k_hit_time_sec_gap_150,k_target_gap_200,k_hit_time_sec_gap_200,k_target_gap_250,k_hit_time_sec_gap_250,k_target_gap_300,k_hit_time_sec_gap_300,d_target_gap_100,d_hit_time_sec_gap_100,d_target_gap_150,d_hit_time_sec_gap_150,d_target_gap_200,d_hit_time_sec_gap_200,d_target_gap_250,d_hit_time_sec_gap_250,d_target_gap_300,d_hit_time_sec_gap_300
C1,c101.txt,SA,1,1,1491.546875,18,8.0,1942.0637042068286,18.0,8.0,2571.887731791725,10,,20,936.703125,25,42.171875,30,22.9375,35,22.9375,40,22.9375,1657.873733885668,,2072.3421673570847,1414.203125,2486.8106008285017,1225.71875,2901.2790342999187,1049.84375,3315.747467771336,721.0
C1,c101.txt,TS,1,1,1494.375,18,8.0,2760.6796595231426,18.0,8.0,2760.6796595231426,10,,20,655.328125,25,107.84375,30,21.359375,35,9.828125,40,5.875,1657.873733885668,,2072.3421673570847,,2486.8106008285017,133.671875,2901.2790342999187,44.0,3315.747467771336,27.75
C1,c101.txt,GA,1,1,1456.90625,23,13.0,3400.841088687569,23.0,13.0,3400.841088687569,10,,20,,25,329.234375,30,67.140625,35,30.1875,40,14.765625,1657.873733885668,,2072.3421673570847,,2486.8106008285017,,2901.2790342999187,,3315.747467771336,1017.546875
C1,c101.txt,MAS,1,1,1218.296875,21,11.0,2505.4309026405626,22.0,12.0,1991.1623095378104,10,,20,,25,226.75,30,57.171875,35,31.21875,40,21.640625,1657.873733885668,,2072.3421673570847,999.015625,2486.8106008285017,353.25,2901.2790342999187,281.53125,3315.747467771336,191.46875
C1,c101.txt,MAS_RL,1,1,1192.125,21,11.0,1818.3273453775907,21.0,11.0,1818.3273453775907,10,,20,,25,296.96875,30,137.8125,35,21.296875,40,21.296875,1657.873733885668,,2072.3421673570847,708.390625,2486.8106008285017,395.171875,2901.2790342999187,261.09375,3315.747467771336,154.296875
C1,c101.txt,MAS_RL_WARM,1,1,1242.84375,22,12.0,2102.001418876213,22.0,12.0,2103.0099545994226,10,,20,,25,216.203125,30,93.75,35,20.875,40,20.875,1657.873733885668,,2072.3421673570847,,2486.8106008285017,580.375,2901.2790342999187,265.75,3315.747467771336,242.0625
C1,c102.txt,SA,1,1,1386.734375,17,7.0,2026.8044650737747,17.0,7.0,2581.385651870136,10,,20,35.734375,25,19.015625,30,19.015625,35,19.015625,40,19.015625,1657.873733885668,,2072.3421673570847,1356.65625,2486.8106008285017,1221.8125,2901.2790342999187,977.625,3315.747467771336,683.859375
C1,c102.txt,TS,1,1,1313.3125,15,5.0,2079.456307848823,15.0,5.0,2079.456307848823,10,,20,67.46875,25,18.15625,30,9.609375,35,5.4375,40,2.5625,1657.873733885668,,2072.3421673570847,203.53125,2486.8106008285017,59.140625,2901.2790342999187,29.03125,3315.747467771336,21.75
C1,c102.txt,GA,1,1,1292.140625,20,10.0,3260.330184519449,20.0,10.0,3260.330184519449,10,,20,253.53125,25,63.40625,30,24.84375,35,8.890625,40,0.8125,1657.873733885668,,2072.3421673570847,,2486.8106008285017,,2901.2790342999187,,3315.747467771336,234.75
C1,c102.txt,MAS,1,1,1069.890625,17,7.0,1799.406375049159,17.0,7.0,1799.406375049159,10,,20,174.140625,25,33.90625,30,18.375,35,9.4375,40,9.4375,1657.873733885668,,2072.3421673570847,545.203125,2486.8106008285017,294.8125,2901.2790342999187,225.75,3315.747467771336,88.0625
