Group,Instance,Method,Runs,K Target,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 1200s,Avg Budget K Gap @ 1200s,Avg Budget D @ 1200s,K Success Rate,K Median Hit Time (s),Gap 100% Target K,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
C1,c101.txt,SA,1,10,18.0,8.0,1942.0637042068286,18.0,8.0,2571.887731791725,0.0,,20.0,1.0,936.703125,25.0,1.0,42.171875,30.0,1.0,22.9375,35.0,1.0,22.9375,40.0,1.0,22.9375,1657.873733885668,0.0,,2072.3421673570847,1.0,1414.203125,2486.8106008285017,1.0,1225.71875,2901.2790342999187,1.0,1049.84375,3315.747467771336,1.0,721.0
C1,c101.txt,TS,1,10,18.0,8.0,2760.6796595231426,18.0,8.0,2760.6796595231426,0.0,,20.0,1.0,655.328125,25.0,1.0,107.84375,30.0,1.0,21.359375,35.0,1.0,9.828125,40.0,1.0,5.875,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,1.0,133.671875,2901.2790342999187,1.0,44.0,3315.747467771336,1.0,27.75
C1,c101.txt,GA,1,10,23.0,13.0,3400.841088687569,23.0,13.0,3400.841088687569,0.0,,20.0,0.0,,25.0,1.0,329.234375,30.0,1.0,67.140625,35.0,1.0,30.1875,40.0,1.0,14.765625,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,0.0,,2901.2790342999187,0.0,,3315.747467771336,1.0,1017.546875
C1,c101.txt,MAS,1,10,21.0,11.0,2505.4309026405626,22.0,12.0,1991.1623095378104,0.0,,20.0,0.0,,25.0,1.0,226.75,30.0,1.0,57.171875,35.0,1.0,31.21875,40.0,1.0,21.640625,1657.873733885668,0.0,,2072.3421673570847,1.0,999.015625,2486.8106008285017,1.0,353.25,2901.2790342999187,1.0,281.53125,3315.747467771336,1.0,191.46875
C1,c101.txt,MAS_RL,1,10,21.0,11.0,1818.3273453775907,21.0,11.0,1818.3273453775907,0.0,,20.0,0.0,,25.0,1.0,296.96875,30.0,1.0,137.8125,35.0,1.0,21.296875,40.0,1.0,21.296875,1657.873733885668,0.0,,2072.3421673570847,1.0,708.390625,2486.8106008285017,1.0,395.171875,2901.2790342999187,1.0,261.09375,3315.747467771336,1.0,154.296875
C1,c101.txt,MAS_RL_WARM,1,10,22.0,12.0,2102.001418876213,22.0,12.0,2103.0099545994226,0.0,,20.0,0.0,,25.0,1.0,216.203125,30.0,1.0,93.75,35.0,1.0,20.875,40.0,1.0,20.875,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,1.0,580.375,2901.2790342999187,1.0,265.75,3315.747467771336,1.0,242.0625
C1,c102.txt,SA,1,10,17.0,7.0,2026.8044650737747,17.0,7.0,2581.385651870136,0.0,,20.0,1.0,35.734375,25.0,1.0,19.015625,30.0,1.0,19.015625,35.0,1.0,19.015625,40.0,1.0,19.015625,1657.873733885668,0.0,,2072.3421673570847,1.0,1356.65625,2486.8106008285017,1.0,1221.8125,2901.2790342999187,1.0,977.625,3315.747467771336,1.0,683.859375
C1,c102.txt,TS,1,10,15.0,5.0,2079.456307848823,15.0,5.0,2079.456307848823,0.0,,20.0,1.0,67.46875,25.0,1.0,18.15625,30.0,1.0,9.609375,35.0,1.0,5.4375,40.0,1.0,2.5625,1657.873733885668,0.0,,2072.3421673570847,1.0,203.53125,2486.8106008285017,1.0,59.140625,2901.2790342999187,1.0,29.03125,3315.747467771336,1.0,21.75
C1,c102.txt,GA,1,10,20.0,10.0,3260.330184519449,20.0,10.0,3260.330184519449,0.0,,20.0,1.0,253.53125,25.0,1.0,63.40625,30.0,1.0,24.84375,35.0,1.0,8.890625,40.0,1.0,0.8125,1657.873733885668,0.0,,2072.3421673570847,0.0,,2486.8106008285017,0.0,,2901.2790342999187,0.0,,3315.747467771336,1.0,234.75
C1,c102.txt,MAS,1,10,17.0,7.0,1799.406375049159,17.0,7.0,1799.406375049159,0.0,,20.0,1.0,174.140625,25.0,1.0,33.90625,30.0,1.0,18.375,35.0,1.0,9.4375,40.0,1.0,9.4375,1657.873733885668,0.0,,2072.3421673570847,1.0,545.203125,2486.8106008285017,1.0,294.8125,2901.2790342999187,1.0,225.75,3315.747467771336,1.0,88.0625
