Scope,Method,Runs,K Target Avg,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 1200s,Avg Budget K Gap @ 1200s,Avg Budget D @ 1200s,K Success Rate,K Median Hit Time (s),Gap 100% Target K Avg,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K Avg,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K Avg,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K Avg,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K Avg,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance Avg,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance Avg,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance Avg,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance Avg,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance Avg,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
R1,TS,2,18.0,25.5,7.5,2198.8577909086316,25.5,7.5,2198.8577909086316,0.0,,36.0,1.0,23.078125,45.5,1.0,14.5390625,54.0,1.0,7.09375,63.5,1.0,1.390625,72.0,1.0,0.0234375,3136.918710651902,1.0,25.90625,3921.148388314878,1.0,9.3046875,4705.378065977853,1.0,0.0234375,5489.607743640829,1.0,0.0234375,6273.837421303804,1.0,0.0234375
R1,GA,2,18.0,29.5,11.5,2738.0200309953316,29.5,11.5,2757.7938551506995,0.0,,36.0,1.0,80.0625,45.5,1.0,28.59375,54.0,1.0,3.0234375,63.5,1.0,1.234375,72.0,1.0,1.234375,3136.918710651902,1.0,114.7890625,3921.148388314878,1.0,15.859375,4705.378065977853,1.0,1.234375,5489.607743640829,1.0,1.234375,6273.837421303804,1.0,1.234375
R1,MAS,2,18.0,24.0,6.0,2142.354048385868,25.5,7.5,2213.102471886463,0.0,,36.0,1.0,87.0859375,45.5,1.0,25.671875,54.0,1.0,13.7265625,63.5,1.0,13.7265625,72.0,1.0,13.7265625,3136.918710651902,1.0,98.78125,3921.148388314878,1.0,20.4140625,4705.378065977853,1.0,13.7265625,5489.607743640829,1.0,13.7265625,6273.837421303804,1.0,13.7265625
R1,MAS_RL,2,18.0,25.5,7.5,2048.6577272485774,25.5,7.5,2165.090606791223,0.0,,36.0,1.0,89.203125,45.5,1.0,29.6171875,54.0,1.0,14.9921875,63.5,1.0,14.9921875,72.0,1.0,14.9921875,3136.918710651902,1.0,96.796875,3921.148388314878,1.0,23.3671875,4705.378065977853,1.0,14.9921875,5489.607743640829,1.0,14.9921875,6273.837421303804,1.0,14.9921875
R1,MAS_RL_WARM,2,18.0,26.0,8.0,2051.6034310358864,26.0,8.0,2066.088395666504,0.0,,36.0,1.0,117.109375,45.5,1.0,26.6171875,54.0,1.0,13.3671875,63.5,1.0,13.3671875,72.0,1.0,13.3671875,3136.918710651902,1.0,80.1875,3921.148388314878,1.0,20.375,4705.378065977853,1.0,13.3671875,5489.607743640829,1.0,13.3671875,6273.837421303804,1.0,13.3671875
R2,SA,2,3.5,9.0,5.5,1912.7118042876832,9.0,5.5,2362.774578318018,0.0,,7.0,0.0,,9.0,1.0,774.4296875,10.5,1.0,198.9140625,12.5,1.0,44.8828125,14.0,1.0,36.6015625,2444.0741902936893,1.0,1156.6953125,3055.0927378671117,1.0,93.4765625,3666.1112854405337,1.0,19.1484375,4277.129833013956,1.0,0.015625,4888.148380587379,1.0,0.015625
R2,TS,2,3.5,9.5,6.0,1814.840955086178,9.5,6.0,1814.840955086178,0.0,,7.0,0.0,,9.0,0.5,905.703125,10.5,1.0,474.34375,12.5,1.0,216.9609375,14.0,1.0,96.53125,2444.0741902936893,1.0,33.6484375,3055.0927378671117,1.0,17.7578125,3666.1112854405337,1.0,6.6484375,4277.129833013956,1.0,0.015625,4888.148380587379,1.0,0.015625
R2,GA,2,3.5,12.0,8.5,3036.791128279856,12.5,9.0,2966.979081906713,0.0,,7.0,0.0,,9.0,0.0,,10.5,0.0,,12.5,1.0,188.203125,14.0,1.0,88.21875,2444.0741902936893,0.0,,3055.0927378671117,1.0,450.0390625,3666.1112854405337,1.0,9.6015625,4277.129833013956,1.0,0.9609375,4888.148380587379,1.0,0.9609375
R2,MAS,2,3.5,11.5,8.0,1835.2947576569163,11.5,8.0,1835.2947576569163,0.0,,7.0,0.0,,9.0,0.0,,10.5,0.5,1109.578125,12.5,1.0,491.875,14.0,1.0,145.03125,2444.0741902936893,1.0,231.4375,3055.0927378671117,1.0,56.6015625,3666.1112854405337,1.0,10.859375,4277.129833013956,1.0,10.859375,4888.148380587379,1.0,10.859375
R2,MAS_RL,2,3.5,11.0,7.5,1758.1957438862728,11.0,7.5,1758.1957438862728,0.0,,7.0,0.0,,9.0,0.0,,10.5,0.5,889.6875,12.5,1.0,306.7734375,14.0,1.0,210.5078125,2444.0741902936893,1.0,186.8359375,3055.0927378671117,1.0,54.640625,3666.1112854405337,1.0,11.171875,4277.129833013956,1.0,11.171875,4888.148380587379,1.0,11.171875
