group,instance,method,run,seed,runtime_sec,final_k,final_k_gap,final_d,budget_k,budget_k_gap,budget_d,k_target,k_hit_time_sec,k_target_gap_100,k_hit_time_sec_gap_100,k_target_gap_150,k_hit_time_sec_gap_150,k_target_gap_200,k_hit_time_sec_gap_200,k_target_gap_250,k_hit_time_sec_gap_250,k_target_gap_300,k_hit_time_sec_gap_300,d_target_gap_100,d_hit_time_sec_gap_100,d_target_gap_150,d_hit_time_sec_gap_150,d_target_gap_200,d_hit_time_sec_gap_200,d_target_gap_250,d_hit_time_sec_gap_250,d_target_gap_300,d_hit_time_sec_gap_300
R1,r101.txt,SA,2,2,775.625,26,7.0,2350.769026446922,28.0,9.0,2737.403421717019,19,,38,32.65625,48,12.03125,57,12.03125,67,12.03125,76,0.015625,3301.5984791421365,42.40625,4126.998098927671,12.03125,4952.397718713205,0.015625,5777.797338498739,0.015625,6603.196958284273,0.015625
R1,r101.txt,TS,1,1,800.375,27,8.0,2301.6646587516807,30.0,11.0,2395.287549898226,19,,38,24.34375,48,16.578125,57,8.515625,67,2.734375,76,0.015625,3301.5984791421365,22.5,4126.998098927671,6.9375,4952.397718713205,0.015625,5777.797338498739,0.015625,6603.196958284273,0.015625
R1,r101.txt,TS,2,2,815.671875,29,10.0,2450.7154076100987,30.0,11.0,2602.175912022728,19,,38,39.953125,48,14.828125,57,7.5625,67,2.625,76,0.015625,3301.5984791421365,22.03125,4126.998098927671,5.984375,4952.397718713205,0.015625,5777.797338498739,0.015625,6603.196958284273,0.015625
R1,r101.txt,GA,1,1,751.5625,34,15.0,2890.4505191105272,34.0,15.0,2926.1658181521193,19,,38,92.765625,48,36.921875,57,4.546875,67,1.15625,76,1.15625,3301.5984791421365,91.03125,4126.998098927671,8.828125,4952.397718713205,1.15625,5777.797338498739,1.15625,6603.196958284273,1.15625
R1,r101.txt,GA,2,2,752.625,32,13.0,2951.4060489527383,32.0,13.0,2951.4060489527383,19,,38,84.125,48,21.078125,57,10.109375,67,1.125,76,1.125,3301.5984791421365,113.234375,4126.998098927671,5.75,4952.397718713205,1.125,5777.797338498739,1.125,6603.196958284273,1.125
R1,r101.txt,MAS,1,1,678.828125,31,12.0,2421.2013975004734,32.0,13.0,2649.9578048370136,19,,38,105.15625,48,20.03125,57,20.03125,67,20.03125,76,20.03125,3301.5984791421365,89.296875,4126.998098927671,20.03125,4952.397718713205,20.03125,5777.797338498739,20.03125,6603.196958284273,20.03125
R1,r101.txt,MAS,2,2,692.140625,29,10.0,2395.484941785808,30.0,11.0,2667.822580672315,19,,38,152.09375,48,19.75,57,19.75,67,19.75,76,19.75,3301.5984791421365,87.546875,4126.998098927671,19.75,4952.397718713205,19.75,5777.797338498739,19.75,6603.196958284273,19.75
R1,r101.txt,MAS_RL,1,1,677.75,30,11.0,2392.209334592706,32.0,13.0,2693.6487026478467,19,,38,99.421875,48,19.796875,57,19.796875,67,19.796875,76,19.796875,3301.5984791421365,55.046875,4126.998098927671,19.796875,4952.397718713205,19.796875,5777.797338498739,19.796875,6603.196958284273,19.796875
R1,r101.txt,MAS_RL,2,2,643.359375,29,10.0,2250.704814453544,30.0,11.0,2408.1186994380732,19,,38,119.90625,48,19.5625,57,19.5625,67,19.5625,76,19.5625,3301.5984791421365,72.703125,4126.998098927671,19.5625,4952.397718713205,19.5625,5777.797338498739,19.5625,6603.196958284273,19.5625
R2,r201.txt,SA,1,1,505.75,10,6.0,2102.4431308961916,10.0,6.0,2184.235497222966,4,,8,,10,361.609375,12,151.53125,14,46.15625,16,21.109375,2504.7424431774416,404.28125,3130.928053971802,104.765625,3757.1136647661624,7.953125,4383.299275560523,0.015625,5009.484886354883,0.015625
