Group,Instance,Method,Runs,K Target,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 480s,Avg Budget K Gap @ 480s,Avg Budget D @ 480s,K Success Rate,K Median Hit Time (s),Gap 100% Target K,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
R1,r101.txt,MAS,2,19,30.0,11.0,2408.3431696431408,31.0,12.0,2658.890192754664,0.0,,38.0,1.0,128.625,48.0,1.0,19.890625,57.0,1.0,19.890625,67.0,1.0,19.890625,76.0,1.0,19.890625,3301.5984791421365,1.0,88.421875,4126.998098927671,1.0,19.890625,4952.397718713205,1.0,19.890625,5777.797338498739,1.0,19.890625,6603.196958284273,1.0,19.890625
R1,r101.txt,MAS_RL,2,19,29.5,10.5,2321.457074523125,31.0,12.0,2550.8837010429597,0.0,,38.0,1.0,109.6640625,48.0,1.0,19.6796875,57.0,1.0,19.6796875,67.0,1.0,19.6796875,76.0,1.0,19.6796875,3301.5984791421365,1.0,63.875,4126.998098927671,1.0,19.6796875,4952.397718713205,1.0,19.6796875,5777.797338498739,1.0,19.6796875,6603.196958284273,1.0,19.6796875
R2,r201.txt,SA,2,4,10.5,6.5,2097.1124928738855,10.5,6.5,2237.24414737197,0.0,,8.0,0.0,,10.0,0.5,361.609375,12.0,1.0,130.4921875,14.0,1.0,39.84375,16.0,1.0,21.171875,2504.7424431774416,1.0,422.1640625,3130.928053971802,1.0,69.1484375,3757.1136647661624,1.0,7.9453125,4383.299275560523,1.0,0.015625,5009.484886354883,1.0,0.015625
R2,r201.txt,TS,2,4,11.0,7.0,2077.8118298884583,11.0,7.0,2081.5729723251097,0.0,,8.0,0.0,,10.0,0.0,,12.0,1.0,326.4609375,14.0,1.0,184.9609375,16.0,1.0,99.6953125,2504.7424431774416,1.0,29.28125,3130.928053971802,1.0,14.328125,3757.1136647661624,1.0,4.953125,4383.299275560523,1.0,0.015625,5009.484886354883,1.0,0.015625
R2,r201.txt,GA,2,4,14.0,10.0,2996.928316059689,14.0,10.0,3306.7825561478603,0.0,,8.0,0.0,,10.0,0.0,,12.0,0.0,,14.0,1.0,159.78125,16.0,1.0,80.734375,2504.7424431774416,0.0,,3130.928053971802,1.0,311.4375,3757.1136647661624,1.0,5.828125,4383.299275560523,1.0,0.8046875,5009.484886354883,1.0,0.8046875
R2,r201.txt,MAS,2,4,14.0,10.0,2090.234979415906,14.0,10.0,2090.234979415906,0.0,,8.0,0.0,,10.0,0.0,,12.0,0.0,,14.0,0.5,285.21875,16.0,1.0,89.984375,2504.7424431774416,1.0,188.6171875,3130.928053971802,1.0,47.3359375,3757.1136647661624,1.0,13.5,4383.299275560523,1.0,13.5,5009.484886354883,1.0,13.5
R2,r201.txt,MAS_RL,2,4,12.0,8.0,2141.295774959367,12.0,8.0,2141.295774959367,0.0,,8.0,0.0,,10.0,0.0,,12.0,1.0,252.171875,14.0,1.0,122.640625,16.0,1.0,70.4609375,2504.7424431774416,1.0,242.078125,3130.928053971802,1.0,47.015625,3757.1136647661624,1.0,13.34375,4383.299275560523,1.0,13.34375,5009.484886354883,1.0,13.34375
RC1,rc102.txt,SA,2,12,21.0,9.0,2316.45043933686,23.0,11.0,2847.1929712870838,0.0,,24.0,1.0,246.3515625,30.0,1.0,36.8671875,36.0,1.0,10.03125,42.0,1.0,10.03125,48.0,1.0,10.03125,3109.49448481817,1.0,252.390625,3886.8681060227123,1.0,28.0390625,4664.241727227255,1.0,10.03125,5441.615348431797,1.0,10.03125,6218.98896963634,1.0,0.015625
RC1,rc102.txt,TS,2,12,21.0,9.0,2543.031133754292,22.0,10.0,2490.0873774650777,0.0,,24.0,1.0,168.3984375,30.0,1.0,35.90625,36.0,1.0,15.2265625,42.0,1.0,9.828125,48.0,1.0,5.875,3109.49448481817,1.0,39.4140625,3886.8681060227123,1.0,21.4140625,4664.241727227255,1.0,9.515625,5441.615348431797,1.0,2.3046875,6218.98896963634,1.0,0.015625
RC1,rc102.txt,GA,2,12,26.5,14.5,3310.3702738507063,28.5,16.5,3423.045853458938,0.0,,24.0,0.0,,30.0,1.0,142.3671875,36.0,1.0,46.5625,42.0,1.0,17.1484375,48.0,1.0,4.875,3109.49448481817,0.0,,3886.8681060227123,1.0,72.4765625,4664.241727227255,1.0,21.8046875,5441.615348431797,1.0,0.9765625,6218.98896963634,1.0,0.9765625
RC1,rc102.txt,MAS,2,12,24.0,12.0,2638.6967988831,24.5,12.5,2680.1123959087286,0.0,,24.0,1.0,393.3828125,30.0,1.0,83.6484375,36.0,1.0,24.703125,42.0,1.0,17.0390625,48.0,1.0,17.0390625,3109.49448481817,1.0,250.4765625,3886.8681060227123,1.0,47.734375,4664.241727227255,1.0,17.0390625,5441.615348431797,1.0,17.0390625,6218.98896963634,1.0,17.0390625
RC1,rc102.txt,MAS_RL,2,12,23.5,11.5,2539.6089144485504,24.0,12.0,2630.518368443747,0.0,,24.0,1.0,414.296875,30.0,1.0,87.8125,36.0,1.0,24.234375,42.0,1.0,16.6484375,48.0,1.0,16.6484375,3109.49448481817,1.0,176.3671875,3886.8681060227123,1.0,39.8203125,4664.241727227255,1.0,16.6484375,5441.615348431797,1.0,16.6484375,6218.98896963634,1.0,16.6484375
RC2,rc201.txt,SA,2,4,11.0,7.0,2287.827049127472,11.0,7.0,2761.6930693413733,0.0,,8.0,0.0,,10.0,0.0,,12.0,1.0,330.6640625,14.0,1.0,71.8203125,16.0,1.0,37.859375,2813.88017538237,1.0,468.828125,3517.3502192279625,1.0,375.4375,4220.820263073555,1.0,45.9453125,4924.290306919147,1.0,7.859375,5627.76035076474,1.0,0.015625
RC2,rc201.txt,TS,2,4,11.5,7.5,2396.864033651187,12.0,8.0,2365.3756979350883,0.0,,8.0,0.0,,10.0,0.0,,12.0,1.0,325.8984375,14.0,1.0,170.890625,16.0,1.0,79.1640625,2813.88017538237,1.0,46.9609375,3517.3502192279625,1.0,21.0078125,4220.820263073555,1.0,13.1171875,4924.290306919147,1.0,6.265625,5627.76035076474,1.0,0.0078125
RC2,rc201.txt,GA,2,4,15.0,11.0,3869.9654613031225,15.0,11.0,3869.9654613031225,0.0,,8.0,0.0,,10.0,0.0,,12.0,0.0,,14.0,0.0,,16.0,1.0,114.84375,2813.88017538237,0.0,,3517.3502192279625,0.0,,4220.820263073555,1.0,67.3125,4924.290306919147,1.0,7.0234375,5627.76035076474,1.0,0.828125
RC2,rc201.txt,MAS,2,4,13.5,9.5,2514.5946700966538,13.5,9.5,2514.5946700966538,0.0,,8.0,0.0,,10.0,0.0,,12.0,0.0,,14.0,1.0,200.1875,16.0,1.0,105.46875,2813.88017538237,1.0,304.375,3517.3502192279625,1.0,134.4296875,4220.820263073555,1.0,42.125,4924.290306919147,1.0,13.4765625,5627.76035076474,1.0,13.4765625
RC2,rc201.txt,MAS_RL,2,4,13.0,9.0,2913.676130719935,13.0,9.0,2913.676130719935,0.0,,8.0,0.0,,10.0,0.0,,12.0,0.5,443.890625,14.0,1.0,295.234375,16.0,1.0,118.2109375,2813.88017538237,0.5,336.828125,3517.3502192279625,1.0,164.5,4220.820263073555,1.0,30.0625,4924.290306919147,1.0,13.2109375,5627.76035076474,1.0,13.2109375
