Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,10,0.8333333333333334,30.1328125,271.7671875
ALL,TS,12,8,0.6666666666666666,20.828125,142.23828125
ALL,GA,12,7,0.5833333333333334,50.953125,96.71651785714286
ALL,MAS,12,7,0.5833333333333334,36.96875,77.51785714285714
ALL,MAS_RL,12,7,0.5833333333333334,33.703125,83.17410714285714
ALL,MAS_RL_WARM,12,7,0.5833333333333334,33.03125,71.69419642857143
C1,SA,2,2,1.0,30.59375,30.59375
C1,TS,2,2,1.0,63.0,63.0
C1,GA,2,2,1.0,196.3203125,196.3203125
C1,MAS,2,2,1.0,130.328125,130.328125
C1,MAS_RL,2,2,1.0,164.4140625,164.4140625
C1,MAS_RL_WARM,2,2,1.0,124.6171875,124.6171875
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
C2,MAS_RL_WARM,2,0,0.0,,
R1,SA,2,2,1.0,24.0390625,24.0390625
R1,TS,2,2,1.0,14.5390625,14.5390625
R1,GA,2,2,1.0,28.59375,28.59375
R1,MAS,2,2,1.0,25.671875,25.671875
R1,MAS_RL,2,2,1.0,29.6171875,29.6171875
R1,MAS_RL_WARM,2,2,1.0,26.6171875,26.6171875
R2,SA,2,2,1.0,774.4296875,774.4296875
R2,TS,2,1,0.5,905.703125,905.703125
R2,GA,2,0,0.0,,
R2,MAS,2,0,0.0,,
R2,MAS_RL,2,0,0.0,,
R2,MAS_RL_WARM,2,0,0.0,,
RC1,SA,2,2,1.0,28.3515625,28.3515625
RC1,TS,2,2,1.0,32.59375,32.59375
RC1,GA,2,2,1.0,106.796875,106.796875
RC1,MAS,2,2,1.0,104.3828125,104.3828125
RC1,MAS_RL,2,2,1.0,82.578125,82.578125
RC1,MAS_RL_WARM,2,2,1.0,89.4609375,89.4609375
RC2,SA,2,2,1.0,501.421875,501.421875
RC2,TS,2,1,0.5,11.9375,11.9375
RC2,GA,2,1,0.5,13.59375,13.59375
RC2,MAS,2,1,0.5,21.859375,21.859375
RC2,MAS_RL,2,1,0.5,29.0,29.0
RC2,MAS_RL_WARM,2,1,0.5,20.46875,20.46875
