Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,12,1.0,30.1328125,79.33723958333333
ALL,TS,12,11,0.9166666666666666,9.828125,56.24715909090909
ALL,GA,12,10,0.8333333333333334,15.1875,121.25625
ALL,MAS,12,11,0.9166666666666666,14.375,174.609375
ALL,MAS_RL,12,11,0.9166666666666666,16.953125,141.55823863636363
ALL,MAS_RL_WARM,12,11,0.9166666666666666,14.0625,132.83664772727272
C1,SA,2,2,1.0,20.9765625,20.9765625
C1,TS,2,2,1.0,7.6328125,7.6328125
C1,GA,2,2,1.0,19.5390625,19.5390625
C1,MAS,2,2,1.0,20.328125,20.328125
C1,MAS_RL,2,2,1.0,15.1796875,15.1796875
C1,MAS_RL_WARM,2,2,1.0,14.984375,14.984375
C2,SA,2,2,1.0,328.9609375,328.9609375
C2,TS,2,1,0.5,65.21875,65.21875
C2,GA,2,1,0.5,764.171875,764.171875
C2,MAS,2,1,0.5,599.8125,599.8125
C2,MAS_RL,2,1,0.5,684.890625,684.890625
C2,MAS_RL_WARM,2,1,0.5,554.953125,554.953125
R1,SA,2,2,1.0,12.78125,12.78125
R1,TS,2,2,1.0,1.390625,1.390625
R1,GA,2,2,1.0,1.234375,1.234375
R1,MAS,2,2,1.0,13.7265625,13.7265625
R1,MAS_RL,2,2,1.0,14.9921875,14.9921875
R1,MAS_RL_WARM,2,2,1.0,13.3671875,13.3671875
R2,SA,2,2,1.0,44.8828125,44.8828125
R2,TS,2,2,1.0,216.9609375,216.9609375
R2,GA,2,2,1.0,188.203125,188.203125
R2,MAS,2,2,1.0,491.875,491.875
R2,MAS_RL,2,2,1.0,306.7734375,306.7734375
R2,MAS_RL_WARM,2,2,1.0,197.0625,197.0625
RC1,SA,2,2,1.0,28.3515625,28.3515625
RC1,TS,2,2,1.0,8.3203125,8.3203125
RC1,GA,2,2,1.0,14.4921875,14.4921875
RC1,MAS,2,2,1.0,12.359375,12.359375
RC1,MAS_RL,2,2,1.0,11.75,11.75
RC1,MAS_RL_WARM,2,2,1.0,12.2421875,12.2421875
RC2,SA,2,2,1.0,40.0703125,40.0703125
RC2,TS,2,2,1.0,42.4453125,42.4453125
RC2,GA,2,1,0.5,1.453125,1.453125
RC2,MAS,2,2,1.0,122.15625,122.15625
RC2,MAS_RL,2,2,1.0,87.4296875,87.4296875
RC2,MAS_RL_WARM,2,2,1.0,215.46875,215.46875
