Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,12,1.0,11.0,312.7369791666667
ALL,TS,12,12,1.0,2.09375,11.983072916666666
ALL,GA,12,9,0.75,1.203125,139.98784722222223
ALL,MAS,12,12,1.0,13.796875,71.89583333333333
ALL,MAS_RL,12,12,1.0,14.9921875,79.75390625
ALL,MAS_RL_WARM,12,12,1.0,13.6015625,68.73307291666667
C1,SA,2,2,1.0,702.4296875,702.4296875
C1,TS,2,2,1.0,24.75,24.75
C1,GA,2,2,1.0,626.1484375,626.1484375
C1,MAS,2,2,1.0,139.765625,139.765625
C1,MAS_RL,2,2,1.0,90.1484375,90.1484375
C1,MAS_RL_WARM,2,2,1.0,133.96875,133.96875
C2,SA,2,2,1.0,880.796875,880.796875
C2,TS,2,2,1.0,39.953125,39.953125
C2,GA,2,0,0.0,,
C2,MAS,2,2,1.0,228.953125,228.953125
C2,MAS_RL,2,2,1.0,335.25,335.25
C2,MAS_RL_WARM,2,2,1.0,224.484375,224.484375
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.0234375,0.0234375
R1,GA,2,2,1.0,1.234375,1.234375
R1,MAS,2,2,1.0,13.7265625,13.7265625
R1,MAS_RL,2,2,1.0,14.9921875,14.9921875
R1,MAS_RL_WARM,2,2,1.0,13.3671875,13.3671875
R2,SA,2,2,1.0,0.015625,0.015625
R2,TS,2,2,1.0,0.015625,0.015625
R2,GA,2,2,1.0,0.9609375,0.9609375
R2,MAS,2,2,1.0,10.859375,10.859375
R2,MAS_RL,2,2,1.0,11.171875,11.171875
R2,MAS_RL_WARM,2,2,1.0,10.9296875,10.9296875
RC1,SA,2,2,1.0,11.0,11.0
RC1,TS,2,2,1.0,2.0859375,2.0859375
RC1,GA,2,2,1.0,1.1328125,1.1328125
RC1,MAS,2,2,1.0,12.359375,12.359375
RC1,MAS_RL,2,2,1.0,11.75,11.75
RC1,MAS_RL_WARM,2,2,1.0,12.2421875,12.2421875
RC2,SA,2,2,1.0,282.1640625,282.1640625
RC2,TS,2,2,1.0,5.0703125,5.0703125
RC2,GA,2,1,0.5,0.9375,0.9375
RC2,MAS,2,2,1.0,25.7109375,25.7109375
RC2,MAS_RL,2,2,1.0,15.2109375,15.2109375
RC2,MAS_RL_WARM,2,2,1.0,17.40625,17.40625
