Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,12,1.0,25.7109375,70.09244791666667
ALL,TS,12,11,0.9166666666666666,5.875,28.806818181818183
ALL,GA,12,11,0.9166666666666666,4.203125,100.5752840909091
ALL,MAS,12,11,0.9166666666666666,14.375,68.0625
ALL,MAS_RL,12,11,0.9166666666666666,16.953125,75.61931818181819
ALL,MAS_RL_WARM,12,11,0.9166666666666666,14.0625,69.01988636363636
C1,SA,2,2,1.0,20.9765625,20.9765625
C1,TS,2,2,1.0,4.21875,4.21875
C1,GA,2,2,1.0,7.7890625,7.7890625
C1,MAS,2,2,1.0,15.5390625,15.5390625
C1,MAS_RL,2,2,1.0,15.1796875,15.1796875
C1,MAS_RL_WARM,2,2,1.0,14.984375,14.984375
C2,SA,2,2,1.0,302.8359375,302.8359375
C2,TS,2,1,0.5,43.796875,43.796875
C2,GA,2,1,0.5,755.21875,755.21875
C2,MAS,2,1,0.5,212.34375,212.34375
C2,MAS_RL,2,1,0.5,175.0,175.0
C2,MAS_RL_WARM,2,1,0.5,322.28125,322.28125
R1,SA,2,2,1.0,0.015625,0.015625
R1,TS,2,2,1.0,0.0234375,0.0234375
R1,GA,2,2,1.0,1.234375,1.234375
R1,MAS,2,2,1.0,13.7265625,13.7265625
R1,MAS_RL,2,2,1.0,14.9921875,14.9921875
R1,MAS_RL_WARM,2,2,1.0,13.3671875,13.3671875
R2,SA,2,2,1.0,36.6015625,36.6015625
R2,TS,2,2,1.0,96.53125,96.53125
R2,GA,2,2,1.0,88.21875,88.21875
R2,MAS,2,2,1.0,145.03125,145.03125
R2,MAS_RL,2,2,1.0,210.5078125,210.5078125
R2,MAS_RL_WARM,2,2,1.0,113.1796875,113.1796875
RC1,SA,2,2,1.0,28.3515625,28.3515625
RC1,TS,2,2,1.0,4.6484375,4.6484375
RC1,GA,2,2,1.0,2.5703125,2.5703125
RC1,MAS,2,2,1.0,12.359375,12.359375
RC1,MAS_RL,2,2,1.0,11.75,11.75
RC1,MAS_RL_WARM,2,2,1.0,12.2421875,12.2421875
RC2,SA,2,2,1.0,31.7734375,31.7734375
RC2,TS,2,2,1.0,31.1171875,31.1171875
RC2,GA,2,2,1.0,75.7421875,75.7421875
RC2,MAS,2,2,1.0,81.515625,81.515625
RC2,MAS_RL,2,2,1.0,75.9765625,75.9765625
RC2,MAS_RL_WARM,2,2,1.0,64.6953125,64.6953125
