Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,11,0.9166666666666666,25.546875,105.85369318181819
ALL,TS,12,11,0.9166666666666666,20.3125,126.83380681818181
ALL,GA,12,7,0.5833333333333334,21.671875,27.026785714285715
ALL,MAS,12,9,0.75,22.390625,226.33854166666666
ALL,MAS_RL,12,8,0.6666666666666666,19.7421875,141.568359375
ALL,MAS_RL_WARM,12,8,0.6666666666666666,20.0078125,97.021484375
C1,SA,2,2,1.0,20.9765625,20.9765625
C1,TS,2,2,1.0,15.484375,15.484375
C1,GA,2,2,1.0,45.9921875,45.9921875
C1,MAS,2,2,1.0,37.7734375,37.7734375
C1,MAS_RL,2,2,1.0,77.7734375,77.7734375
C1,MAS_RL_WARM,2,2,1.0,55.734375,55.734375
C2,SA,2,1,0.5,465.0625,465.0625
C2,TS,2,1,0.5,236.578125,236.578125
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
C2,MAS_RL_WARM,2,0,0.0,,
R1,SA,2,2,1.0,24.0390625,24.0390625
R1,TS,2,2,1.0,7.09375,7.09375
R1,GA,2,2,1.0,3.0234375,3.0234375
R1,MAS,2,2,1.0,13.7265625,13.7265625
R1,MAS_RL,2,2,1.0,14.9921875,14.9921875
R1,MAS_RL_WARM,2,2,1.0,13.3671875,13.3671875
R2,SA,2,2,1.0,198.9140625,198.9140625
R2,TS,2,2,1.0,474.34375,474.34375
R2,GA,2,0,0.0,,
R2,MAS,2,1,0.5,1109.578125,1109.578125
R2,MAS_RL,2,1,0.5,889.6875,889.6875
R2,MAS_RL_WARM,2,0,0.0,,
RC1,SA,2,2,1.0,28.3515625,28.3515625
RC1,TS,2,2,1.0,15.6171875,15.6171875
RC1,GA,2,2,1.0,41.671875,41.671875
RC1,MAS,2,2,1.0,31.890625,31.890625
RC1,MAS_RL,2,2,1.0,23.09375,23.09375
RC1,MAS_RL_WARM,2,2,1.0,23.828125,23.828125
RC2,SA,2,2,1.0,77.3828125,77.3828125
RC2,TS,2,2,1.0,66.7578125,66.7578125
RC2,GA,2,1,0.5,7.8125,7.8125
RC2,MAS,2,2,1.0,380.34375,380.34375
RC2,MAS_RL,2,1,0.5,11.140625,11.140625
RC2,MAS_RL_WARM,2,2,1.0,295.15625,295.15625
