Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,7,0.5833333333333334,198.21875,285.54910714285717
ALL,TS,12,7,0.5833333333333334,81.46875,154.89732142857142
ALL,GA,12,4,0.3333333333333333,103.3359375,131.69921875
ALL,MAS,12,6,0.5,139.7734375,240.20833333333334
ALL,MAS_RL,12,6,0.5,110.078125,193.8125
ALL,MAS_RL_WARM,12,6,0.5,243.015625,238.26041666666666
C1,SA,2,2,1.0,486.21875,486.21875
C1,TS,2,2,1.0,361.3984375,361.3984375
C1,GA,2,1,0.5,253.53125,253.53125
C1,MAS,2,1,0.5,174.140625,174.140625
C1,MAS_RL,2,1,0.5,116.140625,116.140625
C1,MAS_RL_WARM,2,1,0.5,342.28125,342.28125
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
C2,MAS_RL_WARM,2,0,0.0,,
R1,SA,2,2,1.0,24.0390625,24.0390625
R1,TS,2,2,1.0,23.078125,23.078125
R1,GA,2,2,1.0,80.0625,80.0625
R1,MAS,2,2,1.0,87.0859375,87.0859375
R1,MAS_RL,2,2,1.0,89.203125,89.203125
R1,MAS_RL_WARM,2,2,1.0,117.109375,117.109375
R2,SA,2,0,0.0,,
R2,TS,2,0,0.0,,
R2,GA,2,0,0.0,,
R2,MAS,2,0,0.0,,
R2,MAS_RL,2,0,0.0,,
R2,MAS_RL_WARM,2,0,0.0,,
RC1,SA,2,2,1.0,281.640625,281.640625
RC1,TS,2,2,1.0,95.40625,95.40625
RC1,GA,2,0,0.0,,
RC1,MAS,2,2,1.0,493.765625,493.765625
RC1,MAS_RL,2,2,1.0,392.59375,392.59375
RC1,MAS_RL_WARM,2,2,1.0,354.65625,354.65625
RC2,SA,2,1,0.5,415.046875,415.046875
RC2,TS,2,1,0.5,124.515625,124.515625
RC2,GA,2,1,0.5,113.140625,113.140625
RC2,MAS,2,1,0.5,105.40625,105.40625
RC2,MAS_RL,2,1,0.5,83.140625,83.140625
RC2,MAS_RL_WARM,2,1,0.5,143.75,143.75
